CHIU CHOW KID,潮州小子,T412,055,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T412&Option=1#htop
CHOICE EXCHEQUER,大寶庫,P088,039,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P088&Option=1#htop
CHUNG WAH SPIRIT,中華之光,A168,070,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A168&Option=1#htop
CIRCUIT HASSLER,綫路勇駒,A041,085,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A041&Option=1#htop
CIRCUIT KING,綫路神駒,T324,067,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T324&Option=1#htop
CIRCUIT LAND,縱橫大地,T219,110,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T219&Option=1#htop
CITRON SPIRIT,龍船鼓響,T286,074,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T286&Option=1#htop
CITY LEGEND,都市神話,A086,058,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A086&Option=1#htop
CITY WINNER,龍城快勝,V311,070,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V311&Option=1#htop
CLASSIC EMPEROR,經典帝國,T193,076,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T193&Option=1#htop
CLASSIC VINEGAR,經典寶寶,V054,075,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V054&Option=1#htop
CLASSIER,有品,V241,063,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V241&Option=1#htop
CLEVER BEAVER,有醒,S352,084,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S352&Option=1#htop
CLEVER SPIRIT,好醒,T333,043,-2,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T333&Option=1#htop
CLOUD NINE,快樂神駒,T416,062,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T416&Option=1#htop
CLUB LIFE,智者,P309,058,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P309&Option=1#htop
COLCHESTER,豐利多,A263,073,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A263&Option=1#htop
COLOURFUL ACHIEVER,由心出色,A182,065,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A182&Option=1#htop
COLOURFUL WORLD,花花世界,A103,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A103&Option=1#htop
COMPASSION STAR,善傳千里,A121,051,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A121&Option=1#htop
CONFUCIUS SPIRIT,紅褲精神,S329,043,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S329&Option=1#htop
CONSISTENT,四平八穩,T045,038,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T045&Option=1#htop
CONSORT,代代為王,V172,093,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V172&Option=1#htop
CONTENTMENT,詠彩繽紛,S391,124,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S391&Option=1#htop
CONTRIBUTION,獻惑,A146,046,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A146&Option=1#htop
CONVINCIBLE,一道,T399,078,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T399&Option=1#htop
COOL AND NEAT,奪冠,V087,053,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V087&Option=1#htop
COOL BROTHERS,兄弟勁,V403,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V403&Option=1#htop
CORRE RAPIDO,勁快步,A053,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A053&Option=1#htop
COUNTRY MELODY,鄉村輝煌,T011,094,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T011&Option=1#htop
COUR VALANT,確威龍,P190,058,-2,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P190&Option=1#htop
COURAGEOUS BROTHER,勇少爺,T397,061,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T397&Option=1#htop
CREME BRULEE,大富大貴,A280,052,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A280&Option=1#htop
CROWN AVENUE,榮冠大道,V378,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V378&Option=1#htop
CURLING LUXURY,埼豐,A083,044,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A083&Option=1#htop
D B PIN,翩翩,V344,097,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V344&Option=1#htop
DALRADIAN,靚跑得,A213,085,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A213&Option=1#htop
DANEWIN EXPRESS,但求上舖,S234,034,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S234&Option=1#htop
DARING FIT,一定賺,V398,071,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V398&Option=1#htop
DARING HEART,得其康,V260,051,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V260&Option=1#htop
DASHING DART,奔馳寶馬,V038,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V038&Option=1#htop
DASHING FELLOW,飛來猛,S284,112,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S284&Option=1#htop
DASHING FORTUNE,吉利高,P046,029,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P046&Option=1#htop
DASHING POWER,勁利高,V318,051,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V318&Option=1#htop
DASHING SUPER,喜利高,N348,035,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=N348&Option=1#htop
DAZZLE,大智大慧,V228,045,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V228&Option=1#htop
DAZZLE WINNER,建輝,V363,050,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V363&Option=1#htop
